"START,GOAL",Metrics,LADy,D* lite,Hybrid,,,,,
,Memory (in KB),20.5,10.3,37.5,,"(2,9),(8,10)",20.5,9.9,37.5
,Nodes,656,329,656,,"(22,13),(25,26)",20.5,1.7,37.5
,Replans,25,137,0,,"(22,13),(33,16)",20.5,4.8,37.5
"(2,9),(33,11)",Path length (in steps),65,42,63,,"(22,13),(33,11)",20.5,0.7,37.5
,Time (in s),15.4,19.3,13.5,,"(22,13),(29,25)",20.5,1.6,37.5
,Memory (in KB),20.5,1.1,37.5,,"(22,13),(8,10)",20.5,3.2,37.5
,Nodes,656,35,656,,,,,
,Replans,21,78,0,,,,,
"(2,9),(29,25)",Path length (in steps),101,60,55,,,,,
,Time (in s),21.9,17.2,11.9,,,,,
,Memory (in KB),20.5,13.3,37.5,,,,,
,Nodes,656,428,656,,,LA*Dy ,D* lite,Hybrid
,Replans,39,69,0,,"(12,5),(25,26)",656,127,656
"(2,9),(8,10)",Path length (in steps),48,26,30,,"(12,5),(33,16)",656,58,656
,Time (in s),9.9,23.7,6.7,,"(12,5),(33,11)",656,47,656
,Memory (in KB),20.5,9.9,37.5,,"(12,5),(29,25)",656,249,656
,Nodes,656,320,656,,"(12,5),(8,10)",656,8,656
,Replans,12,93,0,,"(8,13),(25,26)",656,199,656
"(22,13),(25,26)",Path length (in steps),19,14,15,,"(8,13),(33,16)",656,38,656
,Time (in s),4.2,3.1,3.7,,"(8,13),(33,11)",656,26,656
,Memory (in KB),20.5,1.7,37.5,,"(8,13),(29,25)",656,281,656
,Nodes,656,65,656,,"(8,13),(8,10)",656,4,656
,Replans,3,8,1,,"(35,2),(25,26)",656,87,656
"(22,13),(33,16)",Path length (in steps),16,11,19,,"(35,2),(33,16)",656,185,656
,Time (in s),17.9,4.1,4.4,,"(35,2),(33,11)",656,202,656
,Memory (in KB),20.5,4.8,37.5,,"(35,2),(29,25)",656,303,656
,Nodes,656,155,656,,"(35,2),(8,10)",656,166,656
,Replans,78,10,0,,"(2,9),(25,26)",656,308,656
"(22,13),(33,11)",Path length (in steps),14,12,15,,"(2,9),(33,16)",656,329,656
,Time (in s),3.1,4.4,3.7,,"(2,9),(33,11)",656,35,656
,Memory (in KB),20.5,0.7,37.5,,"(2,9),(29,25)",656,428,656
,Nodes,656,23,656,,"(2,9),(8,10)",656,320,656
,Replans,0,13,0,,"(22,13),(25,26)",656,65,656
"(22,13),(29,25)",Path length (in steps),22,14,17,,"(22,13),(33,16)",656,155,656
,Time (in s),4.7,3.8,4.1,,"(22,13),(33,11)",656,23,656
,Memory (in KB),20.5,1.6,37.5,,"(22,13),(29,25)",656,51,656
,Nodes,656,51,656,,"(22,13),(8,10)",656,104,656
,Replans,2,10,1,,,,,
"(22,13),(8,10)",Path length (in steps),24,25,17,,,,,
,Time (in s),5.1,5.5,4,,,,,
,Memory (in KB),20.5,3.2,37.5,,,,,
,Nodes,656,104,656,,,,,
,Replans,4,17,0,,,LA*Dy,D* lite,Hybrid
,,,,,,"(12,5),(25,26)",4,21,0
,,,,,,"(12,5),(33,16)",12,23,0
,,,,,,"(12,5),(33,11)",22,16,0
,,,,,,"(12,5),(29,25)",2,19,1
,,,,,,"(12,5),(8,10)",1,3,0
,,,,,,"(8,13),(25,26)",10,18,0
,,,,,,"(8,13),(33,16)",20,28,0
,,,,,,"(8,13),(33,11)",2,21,0
,,,,,,"(8,13),(29,25)",8,18,1
,,,,,,"(8,13),(8,10)",0,1,0
,,,,,,"(35,2),(25,26)",9,29,0
,,,,,,"(35,2),(33,16)",11,43,1
,,,,,,"(35,2),(33,11)",13,16,1
,,,,,,"(35,2),(29,25)",3,25,1
,,,,,,"(35,2),(8,10)",22,31,0
,,,,,,"(2,9),(25,26)",82,60,0
,,,,,,"(2,9),(33,16)",25,137,0
,,,,,,"(2,9),(33,11)",21,78,0
,,,,,,"(2,9),(29,25)",39,69,0
,,,,,,"(2,9),(8,10)",12,93,0
,,,,,,"(22,13),(25,26)",3,8,1
,,,,,,"(22,13),(33,16)",78,10,0
,,,,,,"(22,13),(33,11)",0,13,0
,,,,,,"(22,13),(29,25)",2,10,1
,,,,,,"(22,13),(8,10)",4,17,0
